construct,category,gloss,arabic,aramaic,assamese,bengali,dari,gujarati,hebrew,hindi,kannada,kashmiri,malayalam,marathi,nepali,odia,pali,pashto,persian,phoenician,prakrit,punjabi,sanskrit,shahmukhi,sindhi,syriac,tamil,telugu,urdu
IF,control,conditional branch,إذا,𐡄𐡍,যদি,যদি,إذا,જો,אם,यदि,ಆದರೆ,إذا,എങ്കിൽ,जर,यदि,ଯଦି,सचे,إذا,اگر,𐤀𐤌,जइ,ਜੇ,यदि,إذا,إذا,ܐܢ,எனில்,ఒకవేళ,اگر
ELSE,control,alternative branch,وإلا,אחרת,অন্যথা,অন্যথা,وإلا,નહીંતર,אחרת,अन्यथा,ಇಲ್ಲದಿದ್ದರೆ,وإلا,അല്ലെങ്കിൽ,अन्यथा,अन्यथा,ଅନ୍ୟଥା,अञ्ञथा,وإلا,وگرنه,אחרת,अण्णहा,ਨਹੀਂਤਾਂ,अन्यथा,وإلا,وإلا,ܐܚܪܢܐ,இல்லையெனில்,లేకపోతే,ورنہ
WHILE,control,pre-test loop,طالما,כלעוד,যেতিয়ালৈ,যতক্ষণ,طالما,જ્યાંસુધી,כלעוד,जबतक,ತನಕ,طالما,വരെ,पर्यंत,जबसम्म,ଯେପର୍ଯ୍ୟନ୍ତ,याव,طالما,تازمانیکه,כלעוד,जाव,ਜਦਤੱਕ,यावत्,طالما,طالما,ܟܡܐ,வரை,వరకు,جبتک
DO,control,post-test loop,افعل,𐡏𐡁𐡃,কৰা,করো,افعل,કરો,עשה,करो,ಮಾಡು,افعل,ചെയ്യുക,करा,गर,କର,करोहि,افعل,انجامبده,𐤐𐤏𐤋,करेहि,ਕਰੋ,कुरु,افعل,افعل,ܥܒܕ,செய்,చేయి,کرو
FOR,control,counted loop,لكل,עבור,বাবে,জন্য,لكل,માટે,עבור,हेतु,ಗಾಗಿ,لكل,വേണ്ടി,साठी,लागि,ପାଇଁ,अत्थाय,لكل,برای,עבור,अत्थे,ਲਈ,प्रति,لكل,لكل,עבור,க்கு,కొరకు,برائے
BREAK,control,leave the loop,اكسر,שבור,বিৰতি,বিরতি,اكسر,તોડો,שבור,विराम,ನಿಲ್ಲಿಸು,اكسر,നിർത്തുക,थांबा,रोक,ଭାଙ୍ଗ,भञ्ज,اكسر,بشکن,שבור,भंग,ਰੋਕੋ,भङ्ग,اكسر,اكسر,שבור,நிறுத்து,ఆపు,توڑو
CONTINUE,control,next iteration,استمر,המשך,অব্যাহত,চালু,استمر,ચાલુ,המשך,जारी,ಮುಂದುವರಿ,استمر,തുടരുക,सुरूठेवा,जारी,ଜାରି,अनुवत्त,استمر,ادامه,המשך,चालु,ਜਾਰੀ,अनुवर्त,استمر,استمر,המשך,தொடர்,కొనసాగు,جاری
SWITCH,control,multiway branch,بدل,בחר,নিৰ্বাচন,নির্বাচন,بدل,પસંદગી,בחר,चयन,ಆಯ್ಕೆ,بدل,തിരഞ്ഞെടുപ്പ്,निवड,चयन,ବାଛ,विकप्प,بدل,انتخاب,בחר,विअप्प,ਚੋਣ,विकल्प,بدل,بدل,בחר,தேர்வு,ఎంపిక,انتخاب
CASE,control,one arm of a multiway branch,عندما,כאשר,যেতিয়া,যখন,عندما,જ્યારે,כאשר,जब,ಯಾವಾಗ,عندما,എപ്പോൾ,जेव्हा,जब,ଯେତେବେଳେ,यदा,عندما,هنگامیکه,כאשר,जदा,ਜਦੋਂ,यदा,عندما,عندما,כאשר,போது,ఎప్పుడు,جب
DEFAULT,control,the remaining arm,افتراضي,ברירתמחדל,মূল,পূর্বনির্ধারিত,افتراضي,મૂળભૂત,ברירתמחדל,मूल,ಪೂರ್ವನಿಯೋಜಿತ,افتراضي,സ്ഥിരസ്ഥിതി,पूर्वनिर्धारित,मूल,ପୂର୍ବନିର୍ଦ୍ଧାରିତ,सभाव,افتراضي,پیشفرض,ברירתמחדל,मूल,ਮੂਲ,स्वभाव,افتراضي,افتراضي,ברירתמחדל,இயல்பு,అప్రమేయ,طےشدہ
